County_subdivision,a,Y,b,c,d,e,f,sub,County,coun,Housings,House_age,Hispanic
"District 4, St. Mary Parish",36.69222222,1.068099941,3,1509.904956,89.82660875,41836,14,83,St. Mary Parish,28,3145,84.6,3.7
"District 4, Jefferson Davis Parish",0.880277778,0.881874658,0.5,0,187.9344905,31159,27.6,76,Jefferson Davis Parish,12,1161,94,9.8
"District 4, St. Helena Parish",4.095277778,1.861868129,20,3771.731271,9.265414763,47158,50.6,80,St. Helena Parish,23,1039,77.1,3.6
"District 3, Assumption Parish",31.69527778,2.104000816,14,1001.352796,45.71217265,30125,1,50,Assumption Parish,3,1162,83.5,0.6
"District 3, St. James Parish",6.831388889,2.330181957,18,2029.541769,21.85554179,93400,31.5,62,St. James Parish,24,1655,60.8,1.6
"District 2, Ascension Parish",255.6580556,0.821012091,12,4030.784017,39.67993431,81421,37.5,33,Ascension Parish,2,4200,53.1,1.3
"District 2, St. James Parish",1.315555556,3.804775718,18,3055.776876,19.8561893,54444,36.8,41,St. James Parish,24,1359,89.1,11
"District 2, St. John the Baptist Parish",2656.894444,2.399168311,27,8018.730057,29.2804986,51389,42.1,42,St. John the Baptist Parish,25,2272,90.6,11.3
"District 8, Assumption Parish",0.849444444,0.526987636,14,743.2122449,56.71010043,37359,0,134,Assumption Parish,3,1053,80.4,3.7
"District 8, St. Tammany Parish",127.4188889,0.364380059,10,1096.640457,92.9715121,72351,8.1,142,St. Tammany Parish,29,4943,90.2,2.7
"District 8, East Baton Rouge Parish",698.3647222,0.609553647,6,731.1983216,29.72713866,61096,41.6,135,East Baton Rouge Parish,7,16497,77.2,5.5
"District 8, Terrebonne Parish",266.2075,8.567745205,28,37721.63815,33.88381305,58600,8.7,144,Terrebonne Parish,31,5255,89.2,5.7
"District 8, Lafourche Parish",429.9130556,5.619965184,29,13603.63527,45.58114511,55053,2.5,137,Lafourche Parish,15,4120,84.3,5.3
"District 8, St. Mary Parish",37.30888889,1.868036564,3,1013.358831,61.44760987,33515,21.7,141,St. Mary Parish,28,3225,93.2,5.5
"District 8, Livingston Parish",499.7347222,6.8715919,18,6760.324168,36.49450487,49617,5.9,138,Livingston Parish,16,6033,54.1,5.5
